CID,Industry,Topic,Metric,Code,Page,Heading or Fragment,Value,Unit,SASB Unit of Measurement,Complete
Malakkof Humanis,Finance,,,FN-IN-410a.2,50,"Pour les investissements dans les entreprises cotées, les premiers résultats obtenus dansle cadre de l’exercice de modélisation de la trajectoire climat ont permis de cibler une?ort de décarbonation de - 15 % à – 25 % à horizon 2025. Cet objectif doit désormaisêtre précisé dans le cadre des études qui sont en cours. En 2023, une granularité plusimportante sera apportée sur la trajectoire de décarbonation envisagée, intégrant unedéclinaison par classe d’actifs et par année. Les objectifs de décarbonation qui enrésultent seront mis en application en étroite collaboration avec les gérants partenaires.En 2023, Malako? Humanis souhaite étendre les analyses transversales sur le climatet la biodiversité aux investissements immobiliers et au Private Equity. De même, ladémarche d’évaluation de contributions positives, initiée pour certains investissementsinnovants présentés ci-dessous, devra être étendue. Il s’agit par la suite de dé?nir unepolitique globale de réduction des impacts négatifs, mais également d’augmentationdes contributions positives, a?n de mettre en œuvre l’enjeu d’alignement sur les objectifsinternationaux de préservation de la biodiversité.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,,"Indicateurs d’exposition au charbon et à la production d’énergie fossile nonconventionnelle :la dé?nition de la liste d’inéligibilité associée aux politiques de sortie du charbon et desénergies non conventionnelles est construite en utilisant les outils « Global Coal ExitList »5 et « Global Oil and Gas Exit List »6 développés par l’ONG Urgewald. Ces basesde données indiquent notamment la part, de la production et du chi?re d’a?aires, réaliséedans des activités d’extraction du charbon ou d’énergies fossiles non conventionnelles.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-140a.3,6,"L’adaptation aux aléasclimatiquesÉtroitement liées aux ressources en eau, lesinstallations de Saint-Laurent s’adaptent aux e? etsphysiques du changement climatique.Pour faire suite à la canicule de 2003, EDF disposed’un plan Aléas climatiques pour se préparer et faireface à des situations similaires. La canicule et lespériodes de sécheresse entraînent l’échau? ement et/ou la baisse du débit de l’eau dans les ? euves. Lescentrales nucléaires, qui utilisent l’eau pour refroidirleurs installations et garantir la sûreté, doivent doncs’assurer de leur capacité à fonctionner dans cespériodes particulières. Dans le cas contraire, ellespeuvent être amenées à adapter, diminuer, voiresuspendre leur production.L’eau, prélevée par les centrales et utilisée pourleur refroidissement est restituée au ? euve à unetempérature légèrement supérieure.La réglementation ? xe à 1°C la limite d’échau? ementde la Loire au point de rejet des e uen ? ts du site.Cet échau? ement est calculé en continu et enregistré.En 2021, cette limite a toujours été respectée :l’échau? ement maximum calculé a été de 0.2°C enaoût et septembre 2021.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-110a.3,7,"Des actions de mobilitédouce en développementLe groupe EDF est fortement engagé dans lapromotion du véhicule électrique pour accompagnerses clients et ses salariés vers des modes de mobilitédurables participant aux objectifs de réduction de CO2et de lutte contre la pollution. La centrale s’inscrit toutnaturellement dans ce projet.Il dispose, pour cela, de 18 véhicules électriques surle site, dont 2 dédiés à la tournée environnementquotidienne. 56 bornes de « charge classique » ainsique 4 bornes universelles à « charge accélérée » sontégalement disponibles.218 bornes électriques, dont une centaine ouverte aupublic, seront mises en service à l’été 2022.Cette action découle du plan de mobilité de l’entreprise(PDME) adopté en juillet dernier sur le site qui favorisele covoiturage et invite les salariés à e? ectuer leursdéplacements en véhicules électriques.En outre, un système de navettes est en place pourassurer le trajet quotidien des salariés et partenairesentre la centrale et leur domicile.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-540a.2,9,"La santé et la sécurité de tousLa sûreté détermine l’ensembledes dispositions techniques etorganisationnelles prises pour quele fonctionnement des installationsprésente le moins de risquespossibles pour le personnel, le publicet l’environnement.Chez EDF, la sûreté est une culture des salariés quirepose sur le professionnalisme, la rigueur d’exploitationet la qualité de la maintenance pour garantir la ? abilitédes installations.La centrale de Saint-Laurent dispose d’une équipe encharge de la sûreté comptant 20 auditeurs et ingénieursqui s’assurent au quotidien du respect des règles desûreté encadrant l’exploitation de la centrale nucléaire.En dehors des heures ouvrables, 24 heures sur 24, dessalariés d’astreinte peuvent être sollicités pour intervenirsur le site.Comme toutes les centrales nucléaires d’EDF, la centralede Saint-Laurent est soumise aux contrôles de l’Autoritéde sûreté nucléaire (ASN), instance indépendanteintervenant au nom de l’État. Ses champs d’actionssont la sûreté et la radioprotection pour protéger lesintervenants, les riverains et l’environnement desrisques liés à l’exploitation nucléaire. Cela se manifestepar des inspections programmées ou inopinées, sur lesinstallations nucléaires de base, depuis leur conceptionjusqu’à leur démantèlement.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-540a.2,10,"Des exercices pour testernos organisationsEn 2021, 8 exercices ont été organisés à la centrale deSaint-Laurent pour tester l’e? cacité des dispositifsd’alerte et la gestion technique des accidents. La gestiondes risques passe par la mise en place de di? érents plansd’urgence, impliquant l’exploitant et les pouvoirs publics,et permettant de faire face à tout type de situation :• Le Plan d’appui et de mobilisation (PAM), le Pland’urgence interne (PUI) et le Plan sûreté protection (PSP)sous la responsabilité d’EDF.• Le Plan particulier d’intervention (PPI), sous laresponsabilité du préfet et des pouvoirs publics a? nde prendre les mesures nécessaires pour protéger lespopulations et l’environnement en cas de risque derejets. Pour le site de Saint-Laurent, 76 communes sontconcernées.La centrale entretient des échanges réguliers avec lessapeurs-pompiers du Service départemental d’incendieet de secours de Loir-et-Cher (SdIS 41) ainsi qu’avec lePeloton spécialisé de protection de la gendarmerie (PSPG)dédié à la sécurité de la centrale. Un o? cier sapeur-pompier professionnel est présent en permanence sur lesite et 18 salariés sont, eux, sapeurs-pompiers volontaires.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-540a.2,10,"Campagne de distributionde comprimés d’iodeLes campagnes de distribution des comprimés d’iodeont lieu régulièrement depuis 1997 et concernentles personnes qui résident ou travaillent à proximitéd’une centrale nucléaire. Elles mettent à dispositiondes comprimés d’iode stable permettant de protégerla thyroïde en cas de rejet accidentel d’iode radioactifdans l’atmosphère. Les comprimés d’iode doivent êtreadministrés en situation accidentelle et uniquementsur instruction des autorités.La sixième campagne de distribution de comprimésd’iode autour des centrales nucléaires a débutéen 2019. Pendant la première phase, les riverainsconcernés étaient invités à retirer les comprimésd’iode dans les pharmacies partenaires. La deuxièmephase, lancée début 2021, visait à adresser par voiepostale les comprimés aux foyers identi? és ne lesayant pas retirés en pharmacie.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-540a.2,11,"Les formations sont en majorité réalisées au campusformation de la centrale. Accessible à tous, il comprendun chantier école, un espace maquettes, un simulateur deconduite, réplique exacte des salles de commande ainsique des salles de formation. L’objectif est de reproduireun environnement le plus proche possible des conditionsréelles d’exploitation pour réaliser des recyclages et desentraînements avant d’intervenir sur les installations.L’académie des métiers, formation EDF, accueille chaqueannée une trentaine de nouveaux venus dans le nucléaire.Ce cursus de professionnalisation vise à favoriserl’intégration des nouveaux arrivants et permet d’obtenirles habilitations de base, communes à tous les métiers,essentielles pour travailler sur un site nucléaire.Tout en continuant à améliorer ses performances, lacentrale de Saint-Laurent prépare l’avenir, notamment viale renouvellement des compétences. En 2021, 42 salariésont été recrutés. 51 alternants ont été accueillis sur siteet 48 stagiaires sont également formés chaque année ausein de la centrale, dans des domaines divers et variés.",N/A,N/A,N/A,TRUE
EDF,Energy,,,IF-EU-140a.3,26,"L’eau, une ressourcepréservéeL’eau est une ressource essentielle et indispensable aufonctionnement des centres nucléaires de productiond’électricité : optimiser sa gestion est donc unepréoccupation majeure pour EDF. Que l’eau soit prélevéeen mer ou dans un cours d’eau, son utilisation eststrictement réglementée et contrôlée par les pouvoirspublics. À Saint-Laurent, l’eau prélevée est utilisée pourle refroidissement et, ensuite, restituée à la Loire à unetempérature légèrement supérieure (maximum 1 °C).Depuis plus de 35 ans, les eaux tièdes du site chau? ent lesserres de deux maraîchers de Saint-Laurent gratuitement,un gain ? nancier considérable pour ces deux producteursqui seraient contraints de chau? er leurs serres au ? oulsans cette convention. Près de 2 000 tonnes de CO2sont ainsi évitées chaque année grâce à ce partenariatgagnant-gagnant permettant de soutenir les producteurslocaux et d’éviter un recours aux énergies fossiles. En2021, la convention pour l’utilisation des eaux tièdes de lacentrale a été renouvelée.",N/A,N/A,N/A,TRUE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,3,"L’EXCEPTION DURABLE
ACCÉLÉRER LA TRANSFORMATION
Notre plan de transformation « L’Exception Durable » est ambitieux et nous avons mis les moyens pour le soutenir : une vision claire, une gouvernance RSE incarnée à tous les niveaux du Groupe et 80 millions d’euros sur 10 ans.
Il s’appuie notamment sur la conversion vers l’agroécologie pour l’ensemble de nos terroirs, l’utilisation d’énergies renouvelables pour nos sites de production, la sensibilisation et la formation de nos collaborateurs aux enjeux de durabilité et de consommation responsable, l’écoconception des emballages mais aussi le lancement de projets pilotes explorant la circularité du verre.",80,millions d'euros,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,3,"« Nous sommes acteur d’un écosystème où la responsabilité de chacun est de prendre en compte les impacts environnementaux à toutes les étapes de la vie des produits. Des agriculteurs partenaires aux consommateurs de nos flacons en passant par nos verriers, nos transporteurs et nos distributeurs, nous souhaitons être moteur pour embarquer l’ensemble de nos parties prenantes dans cette réjouissante et nécessaire transition vers plus de sobriété et de responsabilité.»
Laetitia DELAYE, Directrice de la Responsabilité Sociale et Environnementale du Groupe",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,3,"01/
PARCE QUE LE CHANGEMENT CLIMATIQUE MENACE L’EXISTENCE DE NOS TERROIRS
Nos vins et spiritueux d’exception prennent racine dans le sol de nos terroirs. C’est pourquoi nous nous engageons, avec nos partenaires viticulteurs et agriculteurs, à déployer des pratiques agroécologiques à la hauteur des enjeux climatiques, pour devenir acteurs de la résilience des sols et protecteurs de la biodiversité.",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Water Management,Description of water management risks and discussion of strategies and practices to mitigate those risks,FB-AB-140a.2,4,"03/ S’ENGAGER DANS LE TEMPS
- Réduire l’impact environnemental de nos activités
(carbone et eau) et viser le net zéro carbone d’ici 2050 ;
- Mener des actions climatiques solidaires, dès maintenant,
pour contribuer à la neutralité carbone du Groupe.",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,4,CHIFFRES CLÉS — « DES FOURNISSEURS STRATÉGIQUES ENGAGÉS DANS UNE DÉMARCHE RSE PROACTIVE — 83% »,83,%,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,4,CHIFFRES CLÉS — « DE NOS APPROVISIONNEMENTS AGRICOLES ENGAGÉS DANS UNE CERTIFICATION (OBJECTIF 100% EN 2025) — 82% »,82,%,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,4,CHIFFRES CLÉS — « DE NOS DOMAINES EN CONVERSION VERS L’AGROÉCOLOGIE — 100% »,100,%,Rate,FALSE
Rémy Cointreau,Luxury,Packaging Lifecycle Management,"(1) Total weight of packaging, (2) percentage made from recycled or renewable materials, and (3) percentage that is recyclable, reusable, or compostable",FB-AB-410a.1,4,78% DE BOUTEILLES VENDUES SANS EMBALLAGE SECONDAIRE (OBJECTIF 85% EN 2025),78,%,"Metric tonnes (t), Percentage (%)",TRUE
Rémy Cointreau,Luxury,Packaging Lifecycle Management,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,FB-AB-410a.2,4,59% DES SALARIÉS FORMÉS À LA CONSOMMATION RESPONSABLE (E-LEARNING R.E.S.P.E.C.T.),59,%,n/a,TRUE
,Luxury,Energy Management,"(1) Total energy consumed, (2) percentage grid electricity and (3) percentage renewable",FB-AB-130a.1,4,38% D’ÉNERGIES RENOUVELABLES UTILISÉES DANS NOS SITES DE PRODUCTION (OBJECTIF 100% EN 2030),38,%,"Gigajoules (GJ), Percentage (%)",TRUE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,5,"TERROIRS
PRÉSERVER NOS TERROIRS
NOTRE STRATÉGIE
Chaque produit est l’expression de nos terroirs : un sol singulier, un climat unique, une biodiversité spécifique. Nous sommes engagés à préserver ces écosystèmes fragiles et à perpétuer nos savoir-faire, construits au fil des générations. Le climat a toujours fait partie de leur histoire, et le réchauffement climatique représente un nouveau défi. C’est pourquoi nous nous engageons, sur nos domaines, et avec nos partenaires, à déployer des pratiques agroécologiques, développer des variétés résistantes pour nos matières premières, et intégrer des technologies de précision au service d’une agriculture et viticulture plus durables.",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,5,"« Chez Mount Gay, nous utilisons
désormais 100% d’engrais biologiques,
pour préserver la biodiversité des sols, sans sacrifier nos rendements.»
Jacklyn BROOMES, Agricultural and CSR Manager Mount Gay Rum",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,5,"NOS ENGAGEMENTS 01/ ACCÉLÉRER LA TRANSITION AGROÉCOLOGIQUE À L’ÉCHELLE DE NOS TERRITOIRES
Nous avons initié notre transition en engageant nos Maisons dans la certification de leurs approvisionnements agricoles. Puis nous avons souhaité aller plus loin en les encourageant vers des pratiques agricoles régénératives, afin de renforcer la résilience de nos territoires. Tel est l’objet de notre plan «New Generation Terroirs » : tous nos domaines sont désormais en conversion vers l’agroécologie, et nous voulons embarquer tous nos partenaires d’ici à 2030.",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Ingredient Sourcing,List of priority beverage ingredients and discussion of sourcing risks related to environmental and social considerations,FB-AB-440a.2,5,"02/
INVESTIR EN R&D POUR PRÉSERVER DURABLEMENT NOS TERROIRS
ET LEURS SPÉCIFICITÉS
Le réchauffement climatique pose un défi pour nos Maisons, en faisant évoluer les paramètres vitaux de développement de nos matières premières – raisin, orge, orange... –, à l’origine de nos spiritueux et vins d’exception. Face à ces rapides évolutions, nous investissons en R&D au niveau du Groupe et des Maisons, afin de préserver nos terroirs et ceux de nos partenaires. Pour y parvenir, nous collaborons avec des instituts de recherche et investissons dans les nouvelles technologies.",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Ingredient Sourcing,List of priority beverage ingredients and discussion of sourcing risks related to environmental and social considerations,FB-AB-440a.2,5,"ACTION 04 /
GENESIS : MESURER L’IMPACT DE NOS PRATIQUES AGRICOLES SUR LES SOLS
Si nos sols veulent jouer leur rôle dans la temporisation du climat et la préservation de la biodiversité, nous devons mieux les connaître. Pour cela, nous sommes accompagnés depuis 3 ans par Genesis, 1ère agence mondiale de notation de l’état de santé écologique des sols. À partir de son diagnostic scientifique, nous pouvons évaluer l’impact de nos pratiques agricoles dans le but d’améliorer, à terme, la santé des sols, leurs rendements et leurs résistances aux risques climatiques et biologiques.
La notation Genesis s’appuie sur quatre piliers essentiels pour évaluer la qualité et la durabilité du sol : le carbone (quantité stockée dans les sols), la biodiversité (fonctionnement biologique du sol), l’eau (capacité de rétention du sol) et sa fertilité (capacité du sol à produire).
À date, cette évaluation a concerné une trentaine de viticulteurs partenaires et des Domaines Rémy Martin, une dizaine d’exploitations du Trièves, fournisseurs du Domaine des Hautes Glaces, et notre distillerie Bruichladdich.",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Environmental & Social Impacts of Ingredient Supply Chain,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,FB-AB-430a.1,5,"FOCUS
EN GRÈCE AVEC KOSTANTINOS KALPAXIDIS,
DEPUTY METAXA MASTER
01/ EN QUOI CONSISTE VOTRE
COLLABORATION AVEC VOS PARTENAIRES
AGRICULTEURS SUR SAMOS?
Nous les conseillons et les accompagnons sur la transition
agroécologique. Sur nos 87 agriculteurs partenaires,
35 nous suivent dans ce programme annuel, qui consiste en
des analyses de leurs sols, l’établissement d’un diagnostic
et la proposition d’améliorations en fonction.
Dans cette logique de transmission, nous faisons intervenir
des experts renommés et animons des réunions très ouvertes
pour recueillir leurs demandes, sur les pratiques à adopter,
les certifications, la feuille de route… Notre légitimité sur
le sujet provient aussi de l’expérimentation que nous
menons au sein de notre Domaine, un vignoble d’1,6 hectare
qui fait office de test et de démonstration pour convaincre
nos partenaires sur l’efficacité de ces pratiques.",N/A,N/A,Rate,FALSE
Rémy Cointreau,Luxury,Ingredient Sourcing,List of priority beverage ingredients and discussion of sourcing risks related to environmental and social considerations,FB-AB-440a.2,5,"CERTIFIER NOTRE APPROVISIONNEMENT AGRICOLE — « À La Barbade, 85% des achats de canne à sucre de Mount Gay sont certifiés Bonsucro… En Champagne, Telmont… 80% de surfaces certifiées AB et HVE… Westland… 62% de ses approvisionnements certifiés Salmon Safe ou Regenerative Organic Agriculture. » :contentReference[oaicite:7]{index=7}",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Ingredient Sourcing,List of priority beverage ingredients and discussion of sourcing risks related to environmental and social considerations,FB-AB-440a.2,5,"« En 2023, ce sont ainsi 82% des matières premières agricoles produites ou achetées par nos Maisons qui sont engagées dans une certification, contre 64% en 2021… » (contexte : mobilisation des partenaires, santé des sols, agroécologie). :contentReference[oaicite:8]{index=8}",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Responsible Drinking & Marketing,Description of efforts to promote responsible consumption of alcohol,FB-AB-270a.4,8,"FORMER TOUS NOS COLLABORATEURS ET PARTENAIRES À LA CONSOMMATION RESPONSABLE. « Nos collaborateurs sont le socle de la réussite de R.E.S.P.E.C.T.… En 2023, 59% sont formés au programme avec son protocole en sept étapes pour une dégustation responsable. » :contentReference[oaicite:3]{index=3}",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Energy Management,"(1) Total energy consumed, (2) percentage grid electricity and (3) percentage renewable",FB-AB-130a.1,9,"ACTION 02 – DÉPLOYER UNE STRATÉGIE ÉNERGÉTIQUE PLUS RESPONSABLE. « Ainsi, en 2022/2023, nos sites français ont réduit leur consommation de 8%, principalement grâce à des actions de sobriété sur le chauffage et l’électricité. » :contentReference[oaicite:0]{index=0}",8,%,"Gigajoules (GJ), Percentage (%)",TRUE
Rémy Cointreau,Luxury,Energy Management,"(1) Total energy consumed, (2) percentage grid electricity and (3) percentage renewable",FB-AB-130a.1,9,"ACTION 02 – DÉPLOYER UNE STRATÉGIE ÉNERGÉTIQUE PLUS RESPONSABLE. « 38% des énergies consommées en 2022/2023 étaient aussi d’origine renouvelable (biogaz, solaire, éolien…). Nous visons 100% d’ENR en 2030… » :contentReference[oaicite:1]{index=1}",38,%,"Gigajoules (GJ), Percentage (%)",TRUE
Rémy Cointreau,Luxury,Water Management,Description of water management risks and discussion of strategies and practices to mitigate those risks,FB-AB-140a.2,9,"« Nous le savons, le réchauffement rapide des températures entraîne un stress hydrique qui modifie les terroirs, leur saisonnalité et leur résilience. C’est pourquoi nous nous engageons dans une démarche de préservation et d’économie de la ressource en eau dans notre cycle de production. » :contentReference[oaicite:2]{index=2}",N/A,N/A,n/a,TRUE
Rémy Cointreau,Luxury,Packaging Lifecycle Management,"(1) Total weight of packaging, (2) percentage made from recycled or renewable materials, and (3) percentage that is recyclable, reusable, or compostable",FB-AB-410a.1,9,"« C’est pourquoi nous nous sommes engagés à éliminer nos emballages secondaires. En mars 2023, 78% des bouteilles du Groupe en étaient dénuées, contre 21% en 2019. Objectif 85% en 2025. » :contentReference[oaicite:4]{index=4}",78,%,"Metric tonnes (t), Percentage (%)",TRUE
Rémy Cointreau,Luxury,Packaging Lifecycle Management,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,FB-AB-410a.2,10,REFAIRE DU VERRE UN MATÉRIAU ÉTERNEL #ONEBOTTLEFORETERNITY. « Programme phare… Il se concentre sur leur circularité… Trois de nos Maisons ont lancé un projet pilote… Mount Gay teste la consigne… ECOSPIRITS… LOUIS XIII… » :contentReference[oaicite:5]{index=5},N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,D’ici 2024 : 100 % de papier et carton certifiés FSC (Forest Stewardship Council®). :contentReference[oaicite:11]{index=11},N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,"Aqua Allegoria — Note IPE : 17/20 ; CO2 : 1,8 kg eq CO2. :contentReference[oaicite:12]{index=12}",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,"Terracotta le teint — Note IPE : 17/20 ; CO2 : 0,9 kg eq CO2 ; recyclable. :contentReference[oaicite:13]{index=13}",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,"Abeille Royale Huile-en-Baume Jeunesse — Note IPE : 15/20 ; CO2 : 3,2 kg eq CO2 ; poids de verre réduit, verre recyclé (10 % PCR), recyclable. :contentReference[oaicite:14]{index=14}",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,En 2022 : 40 % des clients ont choisi l’écrin « minimal » pour l’envoi de leurs commandes. :contentReference[oaicite:17]{index=17},N/A,N/A,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,8,90 % des nouvelles formules sans microplastiques dès 2023 et 100 % dès 2024. :contentReference[oaicite:18]{index=18},N/A,N/A,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,8,100 % des innovations sans silicones volatiles. :contentReference[oaicite:19]{index=19},N/A,N/A,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,8,100 % de tous nos lancements ont une évaluation environnementale via l’indice IPE. :contentReference[oaicite:20]{index=20},N/A,N/A,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,8,"90 % d’ingrédients d’origine naturelle minimum dans la collection Aqua Allegoria, nos nouvelles formules de soin et nos iconiques make-up. :contentReference[oaicite:21]{index=21}",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,8,"Bee-concept, le retail éco-conçu : 98 % des éléments de PLV éphémère fabriqués en plastique recyclé (objectif 100 % en 2023). :contentReference[oaicite:27]{index=27}",98,%,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,8,"Bee Respect : 71 % des créations tracées à fin 2022, soit 152 produits 100 % des créations tracées dans Bee respect d'ici fin 2023***",71,%,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,"Total weight of packaging, percentage made from recycled and/or renewable materials",CG-HP-410a.1,22,100 % des nouveaux pots ou flacons en verre intégreront une part de recyclé d’ici fin 2023. :contentReference[oaicite:34]{index=34},100,%,"Metric tonnes (t), Percentage (%)",TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,24,"Lors de ses lancements ou innovations, Guerlain met en avant les caractéristiques durables des produits (recyclage, flacon rechargeable, taux d’ingrédients naturels) sont mises en avant. :contentReference[oaicite:22]{index=22}",N/A,N/A,n/a,TRUE
Guerlain,Luxury,"Product Environmental, Health, and Safety Performance",Discussion of process to identify and manage emerging materials and chemicals of concern,CG-HP-250a.3,24,"Fort de cette expérience, Guerlain est en train de développer un outil interne « d’éco-production » qui permet de simuler et de comparer très
rapidement et surtout en amont, les impacts d’options de lieux de tournage, de dimensionnement de campagne, de taille des équipes de
tournage à envoyer sur place… pour toutes les campagnes à venir, afin de faire des choix éclairés et mesurés.",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,"Total weight of packaging, percentage made from recycled and/or renewable materials",CG-HP-410a.1,26,76 % de nos composants en verre achetés en 2022 intègreront une part de recyclé (47 % en 2021 ; 6 % en 2019). :contentReference[oaicite:7]{index=7},76,%,"Metric tonnes (t), Percentage (%)",TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,26,"Lutter contre « l’excess packaging » ou le sur-emballage est depuis plusieurs années au cœur de notre stratégie d’eco-design. Pour preuve l’allègement de nos pots et de nos flacons, l’ajuste-ment progressif des écrins, les réductions du nombre de couches d’emballage que nous challengeons à chaque nouveau dévelop-pement ou relancement.",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,26,"Réduire notre consommation de plastiques vierges d’origine fossile. Outre sa suppression pure lorsque cela est possible, nous cherchons à le substituer par des matériaux renouvelables, comme le papier ou le carton en priorité. Si un polymère reste nécessaire pour des raisons techniques, nous étudions alors systématiquement des alternatives en plastique recyclé mécani-quement, chimiquement, ou en plastique bio-sourcé. Remplacer le plastique par du verre ou du métal est aussi une option, mais nous la réservons de préférence aux produits rechargeables pour rentabiliser le surplus d’impact ou les transferts de pollution que l’utilisation de ces matériaux peut générer.",N/A,N/A,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,26,40 % et de verre recyclé 88 % de plastique recyclé dans la fabrication du pot de la crème Orchidée Impériale : ?8 % du poids et ?20 % de volume pour son coffret (par rapport à 2017).,8,%,n/a,TRUE
Guerlain,Luxury,Packaging Lifecycle Management,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle,CG-HP-410a.2,26,ZÉRO plastique fossile d’ici 2026 (ambition LVMH LIFE 360). :contentReference[oaicite:10]{index=10},N/A,N/A,n/a,TRUE
